word,freq
Abgeordneter,1
Amerikanistin,3
Arbeiterkind,1
Archäologin,3
Astrophysikerin,2
Autistin,1
Biolog*in,4
Chemiker,1
Dr,2
Dozentin,1
Erziehungswissenschaftlerin,2
Expertx,1
Frau,4
Herr,1
Historiker,3
Informatiker,2
Ingenieurin,1
Journalist,1
Kaiser,1
Kartoffel,1
Kognitionswissenschaftlerin,1
Matschbrötchen,1
Mutter,1
Naturwissenschaftler,1
Neuropsychologin,2
Nichts,1
Phonetiker,1
Politikwissenschaftlerin,2
PostDoc,3
Prof,2
Promotionsstudent,2
Psychologin,9
Raketenwissenschaftler,1
Schweizerin,1
Señor,1
Steuerzahler,2
Studentin,2
Teilchenphysiker,1
WiMi,4
Wissenschaftlerin,3
