word,freq
Abgeordneter,1
absolut,1
Achmed,1
Adriana,1
Alan,2
Albert,2
Alegra,1
Alena,2
Alex,4
Alexander,2
ALF,1
Alina,2
Aljoscha,2
alkoholkrank,2
alleine,2
Amelie,2
Amerikanistin,3
Amir,1
Amrei,2
Ana,2
Anastasia,1
Andi,3
Andrea,3
Andreas,7
Andy,4
Anette,2
Anina,2
Anja,7
Anke,4
Anna,9
Anne,9
Annika,3
Annina,2
Antje,2
Antonia,2
Apodini,1
Arbeiterkind,1
arbeitslos,1
Arch,3
Armin,3
Arne,2
asozial,1
Astrid,2
Astrophysikerin,2
au,1
aufgrund,1
Aurelia,2
Aurora,1
ausgestiegen,2
Autistin,1
Babette,2
bald,2
Balou,2
Barbara,3
Bartl,1
Beate,2
befristet,2
Benjamin,2
Berenike,1
Berit,1
Bernd,3
Bernhard,2
Bert,1
Bettina,4
bewusst,2
Bianca,2
Biologe,1
Biologin,3
Birgit,2
Birte,2
Bj,8
Brigitte,1
Brug,1
bspw,1
Bunker,2
C,3
Carina,2
Carmen,4
Caro,4
Carolin,4
Carolina,1
Carsten,2
Cassandra,1
Cassius,2
Cathleen,2
Charlotte,4
Chemiker,1
Chris,1
Christian,7
Christiane,1
Christina,5
Christine,7
Christoph,6
Cita,2
Claudia,2
Clayton,1
Constantin,2
Constanze,4
Cyril,1
dabei,1
daf,1
danach,1
Daniel,7
Daniela,3
Dar,1
Darinka,2
David,1
davon,1
Denise,2
Dennis,4
DIE,2
Dino,1
direkt,2
Dirk,1
Dog,1
Doktorand,1
Dominic,1
Dominique,1
Don,2
Doreen,1
Doro,3
Doroth,2
Dozentin,1
Dr,2
Drolli,2
dumm,1
Dustin,1
ebenfalls,1
echt,1
echtabergeil,1
Egbert,2
eher,1
eigentlich,1
EINEN,2
einfach,3
Elisabeth,6
Elke,2
Elsie,1
Elster,1
ersch,1
erst,1
Erziehungswissenschaftlerin,2
Esther,1
Eva,9
Expertx,1
f,5
Fabian,4
Falk,2
fast,2
Faustina,1
Federico,2
Feit,2
Felipe,2
Felix,3
firstinthefamily,1
Florian,6
Frank,2
Franka,2
Franz,4
Franzi,1
Franziska,11
Frau,4
Frieder,2
Friederike,5
froh,8
frustriert,1
Fuzzy,1
G,1
Gabriela,2
ganz,1
gar,1
Georg,1
gerade,4
gern,1
Gero,1
Gerrit,2
Gertraud,2
gespannt,3
Gordana,2
Gordon,2
grade,1
Gregor,2
Gustav,2
gut,4
Gypoma,1
H,2
Habiba,1
hanna,1
Hanna,6
Hannah,2
Hannas,1
Hanno,1
Harald,2
Hassan,1
Heiko,2
Helen,2
Helge,2
helmut,1
Helmut,2
Henrik,1
Herr,1
Hexi,2
Hinaa,1
Hinnerk,2
Historiker,3
hochqualifiziert,1
Holger,1
Horst,1
https,1
immer,4
Ina,5
Informatiker,2
Inga,1
Ingenieurin,1
Ingmar,2
interessier,1
interessiert,1
inzwischen,1
Iris,2
Irmtraud,2
Isabel,1
Ivan,1
J,4
ja,5
Jaana,1
Jakob,2
jan,2
Jan,4
Jana,5
Janina,1
Janine,2
Jannis,2
Jeany,1
Jennifer,2
Jenny,5
Jens,6
Jo,2
Joana,2
Jochen,1
Johanna,2
Johannes,3
Jonas,4
Jonathan,2
Josh,1
Journalist,1
Judith,5
Jule,2
Julia,16
Julian,1
Juliane,5
Julie,2
Julika,2
Jutta,2
Kai,1
Kaiser,1
Karen,1
Karina,2
Karo,1
Karolin,2
Karoline,4
Karsten,2
Kartoffel,1
kat,1
Kate,1
Katharina,8
Kathrin,1
Katja,2
kaum,1
Kemal,1
Kerstin,7
Kevin,1
Klara,2
Klaus,2
Knicke,1
Kognitionswissenschaftlerin,1
Konstantin,2
Konstantina,3
Korbinian,2
Kris,1
Kristin,2
Kristina,2
kurz,2
lang,1
Lann,2
Laura,4
Lea,2
leidenschaftlicher,2
leider,1
Lena,6
Leni,2
Lennart,1
Lia,1
Lilly,2
Lina,1
Linda,2
Lioba,4
Lisa,11
Lisbeth,2
Lorenz,1
Lotte,1
Louisa,1
Luca,1
Lucas,2
Luise,2
Lukas,3
m,4
Madita,2
Maha,3
Maik,2
Maike,4
Majana,2
mal,2
Maleo,1
Manja,1
marc,1
Marcel,4
Marco,1
Marcus,4
Mareen,2
Maria,8
Marie,5
Marina,4
Marion,1
Marius,3
Markus,3
Marlene,5
Marthe,2
Martin,12
Martina,2
Mascha,1
Mathias,2
Mathis,2
Matschbr,1
Matth,1
Matthias,1
Max,7
medizinische,2
mehr,2
Meike,3
Melanie,4
Melissa,2
Mia,2
Michael,10
Miguel,1
